,Daily_Return,Beta,Annual_Volatility,Security,GICS Sector
A,-1.577049932596568e-06,1.0248005491882786,0.29625896809227653,Agilent Technologies,Health Care
AAPL,0.0005911303064380064,1.210689306289137,0.2709351911169843,Apple Inc.,Information Technology
ABBV,0.0006099176713747241,0.2990978224561479,0.21995779134764984,AbbVie,Health Care
ABNB,7.360613968760487e-05,1.6662563146251141,0.4678751338978284,Airbnb,Consumer Discretionary
ABT,-0.00010574537189755547,0.6723169136190702,0.2178391522483537,Abbott Laboratories,Health Care
ACGL,0.0011646495347312185,0.5697889686750048,0.2539970394703867,Arch Capital Group,Financials
ACN,1.0631768778644184e-05,1.0942067565942986,0.27033126178018485,Accenture,Information Technology
ADBE,-2.165843214604344e-05,1.4479742795178576,0.38308278265182505,Adobe Inc.,Information Technology
ADI,0.0005141874585890403,1.3399285737706292,0.31805793834560697,Analog Devices,Information Technology
ADM,-0.00011053210144100519,0.5511999670721448,0.2940434530778922,Archer Daniels Midland,Consumer Staples
ADP,0.0004234822248577388,0.8271978830871446,0.2212125802293409,Automatic Data Processing,Industrials
ADSK,0.00031780454532890246,1.5586651097640762,0.3647118157717394,Autodesk,Information Technology
AEE,0.0002128638115576617,0.4204911260938086,0.20459643937264962,Ameren,Utilities
AEP,0.00029180915798449915,0.4252643511861479,0.21002869499622087,American Electric Power,Utilities
AES,-0.00046189736871907975,1.0158954507596654,0.35744540005122,AES Corporation,Utilities
AFL,0.0009478866379133319,0.6077793275513608,0.21400320445480653,Aflac,Financials
AIG,0.0005501144983200357,0.905680091266652,0.26846016919265503,American International Group,Financials
AIZ,0.0006164486425138271,0.5870542464475769,0.2576644080488668,Assurant,Financials
AJG,0.0008396431578168506,0.7067304358222185,0.21336867033248086,Arthur J. Gallagher & Co.,Financials
AKAM,-0.0001153668427087921,0.7862351632977633,0.2805672887264232,Akamai Technologies,Information Technology
ALB,-0.0007304874776537623,1.5255877352271,0.5349113213589168,Albemarle Corporation,Materials
ALGN,-0.0009658993072122067,1.6705279919693208,0.5204274920686686,Align Technology,Health Care
ALL,0.0008884256641477971,0.5451917678674084,0.26043308655754716,Allstate,Financials
ALLE,0.00021459011434120747,0.9835721295546184,0.2653025950749365,Allegion,Industrials
AMAT,0.0004231012857326684,1.7922120251917613,0.4291266824204707,Applied Materials,Information Technology
AMCR,-1.082104485901362e-05,0.7637375123772027,0.23989924864120504,Amcor,Materials
AMD,0.00025448316890890396,2.06474872380768,0.5241874738860685,Advanced Micro Devices,Information Technology
AME,0.0004210198865848499,0.8291262061455541,0.21642237480408041,Ametek,Industrials
AMGN,0.0004146594437152249,0.42712986014457033,0.2284459523323074,Amgen,Health Care
AMP,0.0009622252339116481,1.1837654949157537,0.28027891592025944,Ameriprise Financial,Financials
AMT,-0.000314775680695955,0.7058121115420097,0.27927135253216645,American Tower,Real Estate
AMZN,0.0006272646500942056,1.606885068407935,0.38332137569924385,Amazon,Consumer Discretionary
ANET,0.0018756940642556095,1.524891122545982,0.4317547917391169,Arista Networks,Information Technology
AON,0.00040332311335199557,0.7155113396003098,0.22702843522816207,Aon plc,Financials
AOS,-4.6598481250699695e-05,0.9244501189080921,0.27867321670004175,A. O. Smith,Industrials
APA,0.0002521877745350762,0.971848348365794,0.45460652456673356,APA Corporation,Energy
APD,0.00021604449428330345,0.729066512445237,0.27188518978663945,Air Products,Materials
APH,0.0007972854643538137,1.147425391952678,0.25342090264960865,Amphenol,Information Technology
APO,0.001459610560279083,1.4264221933430843,0.3621208573909506,Apollo Global Management,Financials
APP,0.00280197929205368,2.2619330004579874,0.7883744779749065,AppLovin,Information Technology
APTV,-0.0009912094899789088,1.496813853207838,0.4186534891103111,Aptiv,Consumer Discretionary
ARE,-0.0007332969166982174,0.9942725653974677,0.30751488798944987,Alexandria Real Estate Equities,Real Estate
ARES,0.0014415797884372182,1.4810723387124163,0.35240875814675054,Ares Management,Financials
ATO,0.0005518147791364474,0.4687206367540885,0.19317377941399433,Atmos Energy,Utilities
AVB,5.707220352972106e-05,0.7267101643539728,0.22915089027455007,AvalonBay Communities,Real Estate
AVGO,0.002100918191676217,1.5619833805872783,0.4223883921015152,Broadcom,Information Technology
AVY,3.369746831173847e-05,0.9393391802883762,0.25215973516483475,Avery Dennison,Materials
AWK,-0.0003366277276025367,0.6360697405670026,0.22994985510701896,American Water Works,Utilities
AXON,0.0021975481232815153,1.2175407614179663,0.45073840414402955,Axon Enterprise,Industrials
AXP,0.0009741069950955537,1.1213712336894475,0.2899492066330436,American Express,Financials
AZO,0.000713061114352323,0.557121451594074,0.24207092019087154,AutoZone,Consumer Discretionary
BA,5.8326519194768094e-05,1.0755508419155626,0.3694971782388874,Boeing,Industrials
BAC,0.00018891179215003935,0.9785995460132395,0.27571782953212337,Bank of America,Financials
BALL,-0.00042599543543143746,0.9086437658855687,0.33219711515703815,Ball Corporation,Materials
BAX,-0.0011708749731453466,0.5816843202231166,0.29855424351091303,Baxter International,Health Care
BBY,0.00019796517260258826,1.0745370351021886,0.356332175589,Best Buy,Consumer Discretionary
BDX,3.3525903799950484e-05,0.4911883217672221,0.20817241284603927,Becton Dickinson,Health Care
